signal_month,inventory_pressure,basis_strength,profit_cycle,hv20_1y_pct,future_1m_tradable_contract_return
2018-01-31,0.4,0.2,0.24116061834875882,0.45,-0.010117409275231384
2018-02-28,0.44826047954311105,0.187228646312585,0.26316899819708234,0.4936361566848297,-0.010067347577096796
2018-03-31,0.49509530161555715,0.16899138926294757,0.28316501757720614,0.536591385739083,-0.010618543291119203
2018-04-30,0.5391356452111064,0.14551651237807453,0.3009020659236028,0.5781953851801167,-0.012019531832280496
2018-05-31,0.5791240963619142,0.11717745215538963,0.3161613925219257,0.617798938511471,-0.014439727502654093
2018-06-30,0.6139647772654214,0.08448244881661134,0.3287548043578332,0.6547840455291617,-0.017944903218434536
2018-07-31,0.6427670354741006,0.048060461173627944,0.3385269870982208,0.6885735660081669,-0.022483884769474015
2018-08-31,0.6648809513979229,0.07864373595527156,0.3453574205802383,0.7186402257826094,-0.023688113890757437
2018-09-30,0.679923248547471,0.03704751466059789,0.3491618651844006,0.7445148446827637,-0.029684312977761144
2018-10-31,0.6877925735580752,-0.005852559666459419,0.34989340076037634,0.7657936579346833,-0.035919031164674
2018-11-30,0.6886735368286228,-0.04914470960287513,0.3475430052923997,0.7821446167744552,-0.0419925272410597
2018-12-31,0.5455293526875262,-0.09190629192376665,0.3421396661676379,0.7933125699581045,-0.042685896037468474
2019-01-31,0.5340833724992071,-0.13322936730942847,0.33375002267523945,0.799123245311419,-0.04725218782236002
2019-02-28,0.5177902469278636,-0.17224586255514826,0.32247754414511964,0.7994859691889411,-0.050579578262557955
2019-03-31,0.49779786702806295,-0.1381516279499753,0.3084612538624816,0.7943950814058779,-0.04827244181595601
2019-04-30,0.4754016014507761,-0.17022872310938678,0.2918740144960137,0.7839300235633928,-0.04865943263704589
2019-05-31,0.4519926541830356,-0.19786531364260826,0.27292039618554936,0.7682540993889886,-0.04760130256731167
2019-06-30,0.4290026016351704,-0.2205726272475632,0.2518341535820258,0.7476119264364582,-0.04528506267762281
2019-07-31,0.40784632020692657,-0.2379984993200891,0.22887534295536602,0.7223256189107725,-0.04200507248187525
2019-08-31,0.38986557963031065,-0.24993713268068146,0.204327114924943,0.6927897611836451,-0.038133057484790636
2019-09-30,0.3762755508445729,-0.25633480094221583,0.1784922223678265,0.6594652504363847,-0.03408025587026205
2019-10-31,0.36811636096555417,-0.1872913374581593,0.1516892865727208,0.6228721045135313,-0.026055747237822186
2019-11-30,0.22871162669988712,-0.1830573685872472,0.12424886768905222,0.5835813472183161,-0.018012926841061767
2019-12-31,0.2336356193459765,-0.17402736795064908,0.09650938793429159,0.5422060976771973,-0.01566351268007074
2020-01-31,0.2456903704095487,-0.16072872417272238,0.0688129578385253,0.49939200282095353,-0.014375418344251142
2020-02-29,0.2648936305606351,-0.14380712507692434,0.04150115700113092,0.4558071622802718,-0.014207352471110423
2020-03-31,0.29097816197037246,-0.12400866339250763,0.014910821395411,0.4121317029144621,-0.015094222671458666
2020-04-30,0.3234023922399223,-0.10215915988615595,-0.01063011082371311,0.36904716565929235,-0.0168584684633863
2020-05-31,0.3613720051829822,-0.00914127694771609,-0.03480664377536549,0.32722587030863304,-0.015033483489175698
2020-06-30,0.40387160770552366,0.014129943106490935,-0.05732060869153502,0.2873204241889369,-0.01769647252612338
2020-07-31,0.4497052103241934,0.03673243709264526,-0.07789434122739922,0.24995353844017973,-0.02030706751067256
2020-08-31,0.49754390749285066,0.05776267459147216,-0.09627410589094693,0.21570831081679243,-0.022547410628797407
2020-09-30,0.5459788568730889,0.07636069797183412,-0.1122332253584683,0.18511912664222507,-0.024159268566674375
2020-10-31,0.456077445432408,0.09173395485825199,-0.12557487608211695,0.15866331990470445,-0.02016158542196149
2020-11-30,0.5014404032049494,0.10317926256038662,-0.13613451571136378,0.13675372461999585,-0.020120174139234386
2020-12-31,0.543257587769382,0.18010229575245723,-0.1437819123909967,0.11973223269466315,-0.015079899930228525
2021-01-31,0.5803602154928476,0.18203405733007322,-0.14842275090836604,0.10786445881721601,-0.01360859660699629
2021-02-28,0.6117674572460929,0.17864387597877954,-0.1499997958812927,0.10133559562973232,-0.0117659251219761
2021-03-31,0.6367255409656676,0.16974857024572396,-0.14849359764105782,0.10024752385861768,-0.009874271137559516
2021-04-30,0.6547378021674288,0.15531752514560473,-0.14392273210483578,0.10461722249994565,-0.008282432442284236
2021-05-31,0.6655844843922087,0.13547354061019506,-0.1363435716792244,0.11437650386790155,-0.007326140634835693
2021-06-30,0.6693315002023592,0.1104894282679057,-0.1258495900203176,0.1293730776408148,-0.007289807645290816
2021-07-31,0.6663278034558906,0.15078045086866096,-0.11257020922470068,0.14937292730069285,-0.004173748646524233
2021-08-31,0.6571914776173404,0.11689281388436655,-0.09666920366894372,0.17406396188271617,-0.0064705245024718975
